1000,ACTIVO,0
1100,Circulante,1000
1101,Caja,1100
1102,Fondo de caja chica,1100
1103,Fondo de oportunidades,1100
1104,Bancos,1100
1105,Instrumentos financieros,1100
1106,Clientes,1100
1107,Documentos por cobrar,1100
1108,Deudores,1100
1109,Funcionarios y empleados,1100
1110,Otras cuentas por cobrar,1100
1111,IVA acreditable,1100
1112,IVA pendiente de acreditar,1100
1113,IVA a favor,1100
1114,Inventarios,1100
1115,Mercancias en transito,1100
1116,Almacen de articulos de oficina (papeleria y utiles),1100
1117,Propaganda y publicidad,1100
1118,Rentas pagadas por anticipado,1100
1119,Primas de seguros y fianzas,1100
1120,Intereses pagados por anticipado,1100
1200,Fijo,1000
1201,Terrenos,1200
1202,Edificios,1200
1203,Depreciacion acumulada de edificios,1200
1204,Mobiliario y equipo de oficina,1200
1205,Depreciacion acumulada de mobiliario y equipo,1200
1206,Equipo de computo,1200
1207,Depreciacion acumulada de equipo de computo,1200
1208,Muebles y equipo de la tienda,1200
1209,Depreciacion acumulada de muebles y equipo de la tienda,1200
1210,Equipo de transporte,1200
1211,Depreciacion acumulada de equipo de transporte,1200
1300,Intangibles/Diferido,1000
1301,Gastos de constitucion,1300
1302,Amortizacion acumulada de gastos de constitucion,1300
1303,Gastos de organizacion,1300
1304,Amortizacion acumulada de gastos de organizacion,1300
1305,Gastos de instalacion,1300
1306,Amortizacion acumulada de gastos de instalacion,1300
1307,Almacen de articulos de oficina (papeleria y utiles),1300
1308,Propaganda y publicidad,1300
1309,Rentas pagadas por anticipado,1300
1310,Primas de seguros y fianzas,1300
1311,Intereses pagados por anticipado,1300
1400,Otros activos,1000
1401,Depositos en garantia,1400
1402,Fondo de pensiones y jubilaciones,1400
1403,Documentos por cobrar a largo plazo,1400
2000,PASIVO,0
2100,Corto plazo,2000
2101,Proveedores,2100
2102,Documentos por pagar,2100
2103,Acreedores ,2100
2104,Acreedores bancarios,2100
2105,Acreedores hipotecarios (Hipotecas por pagar),2100
2106,IVA causado,2100
2107,IVA pendiente de causar,2100
2108,IVA por pagar,2100
2109,Impuestos y derechos por pagar,2100
2110,Impuestos y derechos retenidos por enterar,2100
2111,ISR por pagar,2100
2112,PTU por pagar,2100
2113,Intereses cobrados por anticipado,2100
2114,Rentas cobrar por anticipado,2100
2200,Largo plazo,2000
2201,Documentos por pagar,2200
2202,Acreedores,2200
2203,Acreedores bancarios,2200
2204,Hipotecas por pagar,2200
2300,Diferido,2000
2301,Rentas cobradas por anticipado,2300
2302,Intereses cobrados por anticipado,2300
3000,CAPITAL CONTABLE,0
3100,Contribuido,3000
3101,Capital social (Patrimonio),3100
3102,Cuentas por cobrar a accionistas,3100
3103,Prima en venta en acciones,3100
3104,Donaciones,3100
3200,Ganado / Deficit,3000
3201,Utilidad del ejercicio,3200
3202,Perdida del ejercicio,3200
3203,Resultados de ejercicios anteriores,3200
3204,Reserva legal,3200
3205,Reserva contractual,3200
3206,Reserva de reinversion,3200
4000,INGRESOS,0
4100,Ventas,4000
4200,Productos financieros,4000
4201,Intereses ganados,4200
4202,Utilidad en cambio de moneda extranjera,4200
4300,Otros productos,4000
4301,Utilidad en venta de activo fijo,4300
4302,Rentas cobradas,4300
4400,Comisiones cobradas,4000
4500,Sobrantes de efectivo,4000
5000,EGRESOS,0
5100,Compras,5000
5200,Gastos de compras,5000
5300,Devoluciones sobre ventas,5000
5400,Rebajas sobre ventas,5000
5500,Costo de ventas,5000
5600,Gastos de venta,5000
5601,Sueldos y salarios,5600
5602,Prestaciones,5600
5603,Renta de la tienda o almacen,5600
5604,Gastos publicos (telefono | luz | agua),5600
5605,ISPT,5600
5606,IMSS,5600
5607,Publicidad,5600
5608,Papeleria,5600
5609,Estimacion,5600
5610,Depreciacion,5600
5611,Amortizacion,5600
5612,Envios,5600
5613,Viaticos,5600
5614,Fletes de la mercancia vendida,5600
5615,Diversos,5600
5700,Gastos de administracion,5000
5701,Sueldos y salarios,5700
5702,Prestaciones,5700
5703,Renta de la oficina,5700
5704,Gastos publicos (telefono | luz | agua),5700
5705,ISPT,5700
5706,IMSS,5700
5707,Publicidad,5700
5708,Papeleria,5700
5709,Estimacion,5700
5710,Depreciacion,5700
5711,Amortizacion,5700
5712,Envios,5700
5713,Viaticos,5700
5714,Diversos,5700
5800,Gastos financieros,5000
5801,Intereses a cargo ,5800
5802,Perdida en cambio de moneda extranjera,5800
5803,Comisiones bancarias,5800
5804,Otros,5800
5900,Otros gastos,5000
5901,Perdida en venta de activos fijos,5900
5902,Faltantes de efectivo,5900
5903,Otros,5900
